order_id,customer_id,amount,country,created_at
ORD00001,CUST0039,366.22,France,2025-11-22
ORD00002,CUST0006,415.56, spain,2025-10-11
ORD00003,CUST0013,27.68,Wales,2026-04-29
ORD00004,CUST0015,142.6,ireland ,2025-10-02
ORD00005,CUST0023,137.15,UK ,2025-09-08
ORD00006,CUST0011,85.88,Spain,2026-02-10
ORD00007,CUST0045,343.88,Spain,2026-07-26
ORD00008,CUST0021,37.76,germany ,2025-11-06
ORD00009,CUST0042,442.92,germany ,2025-09-28
ORD00010,CUST0016,374.77,wales ,2026-01-16
ORD00011,CUST0015,249.29,UK ,2026-07-30
ORD00012,CUST0011,300.22,wales ,2026-02-07
ORD00013,CUST0034,431.09, France ,2026-08-18
ORD00014,CUST0035,173.39, France ,2026-03-26
ORD00015,CUST0047,486.08,wales ,2026-05-24
ORD00016,CUST0041,256.29, France ,2026-05-14
,CUST0035,301.48,Spain,2025-12-16
ORD00018,CUST0020,124.23,United Kingdom,2025-11-06
ORD00019,CUST0032,384.09, IRELAND,2026-06-19
ORD00020,CUST0011,436.85, France ,2026-01-19
ORD00021,CUST0049,357.91,Wales,2026-01-31
ORD00022,CUST0029,, spain,2026-04-30
ORD00023,CUST0036,114.01,UK ,2026-07-18
ORD00024,CUST0005,40.07,ireland ,2026-04-24
ORD00025,CUST0035,468.08,UK ,2025-11-04
ORD00026,CUST0031,51.69,Germany,2025-09-20
ORD00027,CUST0030,338.32,Wales,2025-09-27
ORD00028,CUST0022,99.84,Ireland,2025-11-22
ORD00029,CUST0018,437.87,Germany,2026-07-16
ORD00030,CUST0036,327.81,Ireland,2025-11-20
ORD00031,CUST0049,206.17,United Kingdom,2025-12-20
ORD00032,CUST0004,6.07,united kingdom,2026-02-05
ORD00033,CUST0030,349.81,france,2025-11-12
ORD00034,CUST0013,484.51,France,2025-10-31
ORD00035,CUST0021,294.17,Ireland,2025-12-09
ORD00036,CUST0004,426.41,Spain,2026-07-19
ORD00037,CUST0016,471.09,Germany,2025-11-05
ORD00038,CUST0040,330.4,ireland ,2025-11-07
ORD00039,CUST0014,123.15,wales ,2026-02-02
ORD00040,CUST0030,9.61,France,2025-10-09
ORD00041,CUST0005,255.41,Spain,2026-06-17
ORD00042,CUST0016,83.08,france,2025-11-18
ORD00043,CUST0042,335.59,Spain,2025-11-13
ORD00044,CUST0009,445.41,France,2025-11-13
ORD00045,CUST0014,105.78,wales ,2025-10-03
ORD00046,CUST0017,318.97,Ireland,2026-04-04
ORD00047,CUST0009,84.98,wales ,2026-01-09
ORD00048,CUST0001,472.8,Ireland,2025-09-04
ORD00049,CUST0024,217.74,Spain,2026-08-02
ORD00050,CUST0003,342.62,France,2025-09-16
ORD00051,CUST0027,463.25,Spain,2026-04-24
